run_id,seed,batch_size,repetition,stage,duration_ns,record_count,late_count,provenance
python-20260723T020649Z,621553246858843935,16,11,merkle_build,20661,16,1,measured
python-20260723T020649Z,621553246858843935,16,11,proof_verify,12569,16,1,measured
python-20260723T020649Z,621553246858843935,16,12,merkle_build,14972,16,1,measured
python-20260723T020649Z,621553246858843935,16,12,sign_batch,585151,16,1,measured
python-20260723T020649Z,621553246858843935,16,12,proof_verify,8954,16,1,measured
python-20260723T020649Z,621553246858843935,16,12,late_rebuild,37716,16,1,measured
python-20260723T020649Z,621553246858843935,16,12,signature_admission_batch,1845747,16,1,measured
python-20260723T020649Z,621553246858843935,16,12,verify_batch,1770396,16,1,measured
python-20260723T020649Z,621553246858843935,16,13,merkle_build,17766,16,1,measured
python-20260723T020649Z,621553246858843935,16,13,sign_batch,584029,16,1,measured
python-20260723T020649Z,621553246858843935,16,13,verify_batch,1738147,16,1,measured
python-20260723T020649Z,621553246858843935,16,13,proof_verify,11247,16,1,measured
python-20260723T020649Z,621553246858843935,16,13,late_rebuild,37816,16,1,measured
python-20260723T020649Z,621553246858843935,16,13,signature_admission_batch,1883093,16,1,measured
python-20260723T020649Z,621553246858843935,16,14,late_rebuild,38076,16,1,measured
python-20260723T020649Z,621553246858843935,16,14,signature_admission_batch,1829313,16,1,measured
python-20260723T020649Z,621553246858843935,16,14,merkle_build,15473,16,1,measured
python-20260723T020649Z,621553246858843935,16,14,proof_verify,9655,16,1,measured
python-20260723T020649Z,621553246858843935,16,14,verify_batch,1770806,16,1,measured
python-20260723T020649Z,621553246858843935,16,14,sign_batch,583999,16,1,measured
python-20260723T020649Z,621553246858843935,16,15,merkle_build,17205,16,1,measured
python-20260723T020649Z,621553246858843935,16,15,proof_verify,8803,16,1,measured
python-20260723T020649Z,621553246858843935,16,15,sign_batch,610028,16,1,measured
python-20260723T020649Z,621553246858843935,16,15,verify_batch,1924324,16,1,measured
python-20260723T020649Z,621553246858843935,16,15,signature_admission_batch,2246233,16,1,measured
python-20260723T020649Z,621553246858843935,16,15,late_rebuild,50976,16,1,measured
python-20260723T020649Z,621553246858843935,16,16,late_rebuild,46429,16,1,measured
python-20260723T020649Z,621553246858843935,16,16,sign_batch,658340,16,1,measured
python-20260723T020649Z,621553246858843935,16,16,proof_verify,15793,16,1,measured
python-20260723T020649Z,621553246858843935,16,16,merkle_build,21452,16,1,measured
